Var1	Freq
68	chr16:67687178:67687277	1
69	chr16:69516112:69516139	1
70	chr16:71560275:71560421	1
71	chr16:75279686:75279773	1
72	chr16:84967640:84967652	1
73	chr16:86965384:86965400	1
74	chr16:88096279:88096362	1
75	chr17:16924593:16924617	1
76	chr17:17473311:17473523	1
77	chr17:25821621:25821649	1
78	chr17:29469666:29469741	1
79	chr17:43483074:43483225	1
80	chr17:43506900:43506997	1
81	chr17:71538984:71539080	1
82	chr17:79456619:79456772	1
83	chr17:950579:950597	1
84	chr18:13447880:13447894	1
85	chr18:14458513:14458531	1
86	chr18:45058265:45058273	1
87	chr18:5489107:5489117	1
88	chr18:74499570:74499587	1
89	chr18:74665755:74665892	1
90	chr19:14673070:14673115	1
91	chr19:18131156:18131182	1
92	chr19:2291605:2291625	1
93	chr19:33879823:33879853	1
94	chr19:35505322:35505399	1
95	chr19:35630532:35630541	1
96	chr19:53088342:53088389	1
97	chr1:9563349:9563412	1
98	chr19:58629652:58629666	1
99	chr20:17731262:17731276	1
100	chr20:32336264:32336332	1
101	chr20:3732686:3732700	1
102	chr20:3732852:3732883	1
103	chr20:47421687:47421875	1
104	chr20:50352688:50352798	1
105	chr20:62200085:62200109	1
106	chr20:62959294:62959302	1
107	chr20:8880040:8880231	1
108	chr2:106048152:106048370	1
109	chr2:109788225:109788402	1
110	chr2:110798982:110799019	1
111	chr2:14375315:14375355	1
112	chr21:44781718:44781727	1
113	chr2:175739843:175739898	1
114	chr22:20237340:20237395	1
115	chr2:231277281:231277433	1
116	chr22:32475876:32475936	1
117	chr22:34095314:34095472	1
118	chr2:236611862:236611872	1
119	chr22:38484978:38484992	1
120	chr22:45887405:45887583	1
121	chr22:46476111:46476156	1
122	chr22:46786620:46786697	1
123	chr22:50343067:50343097	1
124	chr22:50985445:50985457	1
125	chr2:39472294:39472340	1
126	chr2:86248350:86248380	1
127	chr2:97305261:97305286	1
128	chr3:106937697:106937906	1
129	chr3:113160421:113160434	1
130	chr3:122459452:122459655	1
131	chr3:128712749:128712769	1
132	chr3:130098135:130098295	1
133	chr3:170965322:170965449	1
134	chr3:195356987:195357011	1
135	chr3:29320866:29320988	1
136	chr3:38012448:38012522	1
137	chr3:51965036:51965246	1
138	chr4:1244005:1244024	1
139	chr4:129556483:129556502	1
140	chr4:151504097:151504165	1
141	chr4:169561292:169561324	1
142	chr4:185722597:185722644	1
143	chr4:2257619:2257679	1
144	chr4:26755387:26755468	1
145	chr4:965678:965736	1
146	chr5:10624799:10624898	1
147	chr5:164830490:164830637	1
148	chr5:170041185:170041290	1
149	chr5:5140660:5140708	1
150	chr5:95198558:95198771	1
151	chr6:115682789:115682877	1
152	chr6:135642658:135642719	1
153	chr6:139858289:139858355	1
154	chr6:150623168:150623365	1
155	chr6:155434075:155434119	1
156	chr6:169351059:169351075	1
157	chr6:170574715:170574763	1
158	chr6:21246436:21246559	1
159	chr6:24981775:24981874	1
160	chr6:3136197:3136313	1
161	chr6:42213769:42213962	1
162	chr6:47427927:47427990	1
163	chr7:100875668:100875696	1
164	chr7:102963572:102963623	1
165	chr7:151290079:151290342	1
166	chr7:1577891:1577924	1
167	chr7:47419767:47419848	1
168	chr8:126645983:126646069	1
169	chr8:129040440:129040473	1
170	chr8:129103440:129103463	1
171	chr8:141523764:141523791	1
172	chr8:142189542:142189581	1
173	chr8:143408017:143408047	1
174	chr8:144361314:144361344	1
175	chr8:144361364:144361393	1
176	chr8:145654572:145654583	1
177	chr8:27530948:27530986	1
178	chr8:41979371:41979431	1
179	chr8:53070170:53070416	1
180	chr8:8230665:8230840	1
181	chr9:116356861:116357046	1
182	chr9:130517759:130517991	1
183	chr9:130860588:130860681	1
184	chr9:130877668:130877724	1
185	chr9:134455414:134455516	1
186	chr9:136921088:136921169	1
187	chr9:138904160:138904187	1
188	chr9:140188472:140188494	1
189	chr9:6788700:6788803	1
190	chr9:86064195:86064250	1
191	chr10:10840659:10840699	2
192	chr10:135174002:135174025	2
193	chr10:6254206:6254244	2
194	chr10:75647560:75647648	2
195	chr10:77109265:77109419	2
196	chr10:80919230:80919249	2
197	chr1:151870591:151870681	2
198	chr1:156261302:156261327	2
199	chr11:64740009:64740016	2
200	chr1:205449277:205449449	2
201	chr12:123402308:123402427	2
202	chr1:2164204:2164384	2
203	chr14:106774181:106774432	2
204	chr14:65681455:65681535	2
205	chr1:47039258:47039357	2
206	chr14:91818657:91818672	2
207	chr15:79082104:79082154	2
208	chr1:6515867:6515873	2
209	chr16:78636379:78636435	2
210	chr17:17415395:17415403	2
211	chr17:19429425:19429525	2
212	chr17:8371613:8371640	2
213	chr1:8433676:8433790	2
214	chr19:1169117:1169138	2
215	chr19:13823667:13823731	2
216	chr19:22610862:22610883	2
217	chr20:50073805:50073870	2
218	chr20:57417351:57417392	2
219	chr20:60760760:60760972	2
220	chr21:30612916:30613022	2
221	chr21:34399242:34399284	2
222	chr21:45705693:45705715	2
223	chr21:47581404:47581439	2
224	chr2:158694393:158694462	2
225	chr2:161348608:161348781	2
226	chr2:219124246:219124271	2
227	chr2:219147468:219147621	2
228	chr3:123118882:123119159	2
229	chr3:13828799:13828855	2
230	chr3:48540230:48540315	2
231	chr4:154460014:154460117	2
232	chr4:19929150:19929272	2
233	chr4:54889382:54889454	2
234	chr5:112538998:112539022	2
235	chr5:1725410:1725419	2
236	chr5:17366324:17366430	2
237	chr5:66564412:66564447	2
238	chr7:158890101:158890118	2
239	chr7:79875750:79875982	2
240	chr8:22447199:22447304	2
241	chr8:81279608:81279654	2
242	chr9:102213820:102213912	2
243	chr9:95964655:95964697	2
244	chr10:104840711:104840824	3
245	chr10:3917268:3917367	3
246	chr11:120418670:120418806	3
247	chr11:57199801:57200049	3
248	chr12:126978451:126978675	3
249	chr1:28431421:28431512	3
250	chr13:107869633:107869814	3
251	chr14:34504893:34504986	3
252	chr16:23303806:23303916	3
253	chr17:38708456:38708524	3
254	chr19:1221753:1221771	3
255	chr19:48983562:48983583	3
256	chr19:57412139:57412201	3
257	chr22:20237221:20237247	3
258	chr22:29866375:29866425	3
259	chr2:237581359:237581546	3
260	chr22:38148519:38148762	3
261	chr3:58103818:58103844	3
262	chr3:65940157:65940167	3
263	chr3:88312669:88312786	3
264	chr4:113634382:113634491	3
265	chr4:187071070:187071120	3
266	chr4:2904348:2904411	3
267	chr4:68411077:68411095	3
268	chr5:149994824:149994881	3
269	chr6:57607668:57607879	3
270	chr8:10559717:10559846	3
271	chr9:132658755:132658787	3
272	chr1:2077786:2077884	4
273	chr13:21900491:21900523	4
274	chr15:79342608:79342818	4
275	chr17:46697530:46697565	4
276	chr18:60050875:60051139	4
277	chr2:187482101:187482155	4
278	chr3:194014878:194014894	4
279	chr9:129511230:129511375	4
280	chr9:78871348:78871392	4
281	chr10:121578130:121578169	5
282	chr10:88729962:88730008	5
283	chr15:23115150:23115163	5
284	chr22:37942946:37942985	5
285	chr3:126645737:126645771	5
286	chr5:170041887:170042039	5
287	chr6:31869020:31869031	5
288	chr11:128558360:128558418	6
289	chr14:93565785:93565854	6
290	chr10:30327101:30327236	7
291	chr10:6183283:6183437	7
292	chr10:30110010:30110051	8
293	chr17:45786237:45786298	8
294	chr3:13063400:13063494	8
295	chr2:105990523:105990613	10
