Sample.ID	File.ID	Study 	Study Accession Project.ID	Disease.Type	Source	Tissue.Type	Tissue age
SAMN01737665	STL002AD.01.getHaplo.mhbsv2	Schultz et al. 2015 Nature 	SRP000941	normal	primary	kidney	adult
SAMN01881963	STL011LI.01.getHaplo.mhbsv2	Schultz et al. 2015 Nature 	SRP000941	normal	primary	liver	adult
SAMN00849926	STL002LG.01.getHaplo.mhbsv2	Schultz et al. 2015 Nature 	SRP000941	normal	primary	lung	adult
SAMN01737669	STL002PA.01.getHaplo.mhbsv2	Schultz et al. 2015 Nature 	SRP000941	normal	primary	pancreas	adult
SAMN00847539	STL003PA.01.getHaplo.mhbsv2	Schultz et al. 2015 Nature 	SRP000941	normal	primary	pancreas	adult
SAMN01737661	STL001GA.01.getHaplo.mhbsv2	Schultz et al. 2015 Nature 	SRP000941	normal	primary	stomach	child
SAMN00849927	STL003GA.01.getHaplo.mhbsv2	Schultz et al. 2015 Nature 	SRP000941	normal	primary	stomach	adult
SAMN01737668	STL002GA.01.getHaplo.mhbsv2	Schultz et al. 2015 Nature 	SRP000941	normal	primary	stomach	adult
SAMN01737666	STL002AO.01.getHaplo.mhbsv2	Schultz et al. 2015 Nature 	SRP000941	normal	primary	vessel	adult
SAMN00847533	STL003AO.01.getHaplo.mhbsv2	Schultz et al. 2015 Nature 	SRP000941	normal	primary	vessel	adult
SAMN00847541	STL003RA.01.getHaplo.mhbsv2	Schultz et al. 2015 Nature 	SRP000941	normal	primary	vessel	adult
SAMN02313886	Colon_Tumor_Primary.getHaplo.mhbsv2	Ziller et al. 2010	SRP028600	cancer	primary	colon	adult
SAMN02313881	Frontal_cortex_normal_1.getHaplo.mhbsv2	Ziller et al. 2010	SRP028600	normal	primary	neural	adult
SAMN02313880	Frontal_cortex_normal_2.getHaplo.mhbsv2	Ziller et al. 2010	SRP028600	normal	primary	neural	adult
